title,url,tag
(Z+) ChatGPT: KI für die Kinder der Reichen,https://www.zeit.de/gesellschaft/schule/2023-02/chatgpt-kuenstliche-intelligenz-hausaufgaben-schule-bildung,"""ChatGPT"", ""Software"", ""Schule"", ""Bildung"", ""künstliche Intelligenz"", ""Lehrer"", ""Bob Blume"", ""Moritz Küstner"", ""Ralf Herbrich"", ""Doris Weßel"""
Meeresschutz: Die dunkle Seite der Meere,https://www.zeit.de/2023/10/meeresschutz-hochsee-ozeane-gesetze,"""Naturschutz"", ""Biodiversität"", ""Vereinte Nationen"", ""Meeresschutz"", ""Hochsee"", ""Ozean"""
Elektroautos in China: Die deutsche Autoindustrie verliert den Anschluss,https://www.zeit.de/mobilitaet/2023-03/china-elektroautos-deutsche-hersteller-nachfrage,"""China"", ""Elektromobilität"", ""E-Auto"", ""Automobilindustrie"", ""Außenhandel"", ""Export"", ""Elektroauto"""
"ChatGPT: Ach, wie trollig",https://www.zeit.de/digital/internet/2023-03/chatgpt-chatbots-desinformation-soziale-medien,"""Social Media"", ""ChatGPT"", ""Facebook"", ""Desinformation"", ""künstliche Intelligenz"""
(Z+) Kaffeepreis: Womit keiner rechnet,https://www.zeit.de/2023/10/kaffeepreis-inflation-lebensmittel,"""Nahrungsmittel"", ""ALDI"", ""Inflation"", ""Discounter"", ""Geld"""
(Z+) Fridays for Future: Nicht mehr die Jüngste,https://www.zeit.de/hamburg/2023-03/fridays-for-future-motivation-jugend,"""Fridays for Future"", ""Jugendliche"", ""Klimaaktivismus"", ""Hamburg"", ""Luisa Neubauer"", ""Klimastreik"""
hChefh von Yung Kafa & Kücük Efendi: Bentleys auf der Milchstraße,https://www.zeit.de/kultur/musik/2023-02/chef-yung-kafa-kuecuek-efendi-album-deutschrap,"""Musikrezension"", ""Hip-Hop"", ""Musik"", ""Spotify"", ""Bentley Motors Limited"", ""Gitarre"", ""Musikproduktion"", ""Museum of Modern Art"", ""Singsang"""
G20-Außenministertreffen: Annalena Baerbock warnt China vor Waffenlieferungen an Russland,https://www.zeit.de/politik/ausland/2023-03/g20-annalena-baerbock-china-waffenlieferungen-indien,"""Annalena Baerbock"", ""China"", ""Russland"", ""Indien"", ""Sicherheitsrat der Vereinten Nationen"", ""Waffenlieferung"""
Verbrenner-Aus: Die FDP und die Destruktion,https://www.zeit.de/politik/deutschland/2023-03/verbrenner-aus-fdp-ampel-koalition,"""Bundesregierung"", ""FDP"", ""Ampel-Koalition"", ""Verkehrswende"", ""Volker Wissing"", ""Christian Lindner"", ""Verbrennermotor"""
(Z+) Profiinvestoren: Warum Profis diese deutschen Aktien lieben,https://www.zeit.de/wirtschaft/geldanlage/2023-03/profi-investoren-usa-prosus-munich-re-money-matters,"""Finanzen"", ""Geld"", ""Munich Re"", ""USA"", ""SAP"", ""Aktien"""
Winter-Bilanz: Erheblich mehr Klinikbehandlungen von Babys wegen RS-Virus,https://www.zeit.de/gesundheit/2023-03/rs-virus-babys-krankenhaus-analyse,"""RS-Virus"", ""Kinder"", ""RKI"", ""Krankenhaus"", ""Winter"", ""Virus"""
(Z+) Petr Pavel: hAuf längere Sicht sollten Kampfjets an die Ukraine geliefert werdenh,https://www.zeit.de/2023/10/petr-pavel-tschechien-waffenlieferungen-ukraine,"""Waffenlieferung"", ""Krieg in der Ukraine"", ""Wolodymyr Selenskyj"", ""Tschechien"", ""Russland"", ""Olaf Scholz"", ""Petr Pavel"", ""Europa"", ""Deutschland"", ""Moldau"""
"Ukraine-\u00dcberblick: Fronten laut Selenskyj unter Kontrolle, USA sondieren China-Sanktionen",https://www.zeit.de/politik/ausland/2023-03/ukraine-ueberblick-selenskyj-frontgebiete-kontrolle-usa-china-sanktionen,"""Wolodymyr Selenskyj"", ""China"", ""Kiew"", ""Donezk"", ""Sanktion"", ""Krieg in der Ukraine"""
Franziska Giffey: Die Giffey-Wende,https://www.zeit.de/politik/deutschland/2023-03/spd-berlin-franziska-giffey-koalition-cdu,"""Raed Saleh"", ""Kai Wegner"", ""Franziska Giffey"", ""Berlin"", ""Jusos"", ""CDU"", ""SPD"", ""Wahlkampf"", ""Koalition"", ""Volksentscheid"""
(Z+) Heizungsverbot : So kann der Abschied von der Gasheizung gelingen,https://www.zeit.de/wirtschaft/2023-03/heizungsverbot-robert-habeck-oel-gasheizungen-alternativen,"""Heizung"", ""Bundesregierung"", ""Fernwärme"", ""Gasheizung"", ""Heizungsverbot"""
Abgeordnetenhauswahl: Berliner SPD will Koalitionsverhandlungen mit CDU führen,https://www.zeit.de/politik/2023-03/berliner-spd-will-mit-cdu-koalitionsverhandlungen-fuehren,"""Berlin"", ""SPD"", ""CDU"", ""Koalitionsverhandlung"", ""Franziska Giffey"""
Nordirland-Protokoll: Selbst die Brexit-Hardliner werden schwach,https://www.zeit.de/politik/ausland/2023-03/nordirland-protokoll-brexit-streit-eu-grossbritannien-rishi-sunak,"""Großbritannien"", ""EU-Kommission"", ""Rishi Sunak"", ""Ursula von der Leyen"", ""Brexit"", ""Nordirland"""
Klimaschutz: Mehr Menschen kompensieren ihre CO\u2082-Emissionen über Onlineanbieter,https://www.zeit.de/digital/2023-03/klimaschutz-co2-emissionen-internet-kompensation,"""CO2"", ""Klimaschutz"", ""Internet"", ""Umfrage"""
(Z+) Spionage beim BND: Maulwurf in Mitte,https://www.zeit.de/2023/10/bnd-spionage-russland-staatsgeheimnis,"""Spionage"", ""BND"", ""FSB"", ""Berlin"", ""Russland"", ""Ukraine"", ""Holger Stark"", ""Carsten L."", ""Arthur E."", ""Bundesanwaltschaft"""
US-Präsidentschaftswahl: Alt. Na und?!,https://www.zeit.de/2023/10/praesidentschaftswahl-usa-joe-biden-kandidatur,"""Joe Biden"", ""Paul Middelhoff"", ""Kiew"", ""Warschau"", ""USA"", ""Europa"", ""Republikaner (USA)"", ""US-Kongress"", ""Krieg in der Ukraine"""
(Z+) Nachkriegszeit in \u00d6sterreich: Adoptivkind des Völkerbundes,https://www.zeit.de/2023/10/nachkriegszeit-oesterreich-erster-weltkrieg-ignaz-seipel,"""Ignaz Seipel"", ""Stefan Zweig"", ""Adolf Hitler"", ""\u00d6sterreich"", ""Deutschland"", ""Brot"", ""Erster Weltkrieg"", ""Völkerbund"", ""Bredouille"", ""Weimarer Republik"""
Romana Romanyschyn und Andrij Lessiw: Zurück zu den leuchtenden Farben,https://www.zeit.de/2023/10/romana-romanyschyn-andrij-lessiw-kinderbuch,"""Romana Romanyschyn"", ""Bologna"", ""Russland"", ""Karpaten"", ""Frankfurt"", ""Lwiw"", ""ZEIT"", ""WhatsApp"", ""Treffen"", ""Frankfurter Buchmesse"""
Siemens Gamesa: hNachhaltigkeit gibt es nicht umsonsth,https://www.zeit.de/2023/10/siemens-gamesa-windrad-hersteller-jochen-eickholt-investition,"""Jochen Eickholt"", ""Robert Habeck"", ""China"", ""Lateinamerika"", ""Deutschland"", ""USA"", ""ZEIT"", ""Gamesa"", ""Bundesregierung"", ""EU"""
